City served	FAA	IATA	ICAO	Airport name	Role	Enpl.
Commercial service – primary airports		
Arcata/Eureka	ACV	ACV	KACV	Arcata Airport	P-N	69,732
Bakersfield	BFL	BFL	KBFL	Meadows Field	P-N	100,433
Burbank	BUR	BUR	KBUR	Hollywood Burbank Airport (was Bob Hope Airport)	P-M	2,077,892
Fresno	FAT	FAT	KFAT	Fresno Yosemite International Airport	P-S	761,298
Long Beach	LGB	LGB	KLGB	Long Beach Airport (Daugherty Field)	P-S	1,386,357
Los Angeles	LAX	LAX	KLAX	Los Angeles International Airport	P-L	39,636,042
Mammoth Lakes	MMH	MMH	KMMH	Mammoth Yosemite Airport	P-N [nb 1]	21,826
Monterey	MRY	MRY	KMRY	Monterey Regional Airport (was Monterey Peninsula Airport)	P-N	192,136
Oakland	OAK	OAK	KOAK	Oakland International Airport	P-M	5,934,639
Ontario	ONT	ONT	KONT	Ontario International Airport	P-M	2,104,625
Orange County	SNA	SNA	KSNA	John Wayne Airport (was Orange County Airport)	P-M	5,217,242
Palm Springs	PSP	PSP	KPSP	Palm Springs International Airport	P-S	995,801
Redding	RDD	RDD	KRDD	Redding Municipal Airport	P-N	43,414
Sacramento	SMF	SMF	KSMF	Sacramento International Airport	P-M	4,969,366
San Diego	SAN	SAN	KSAN	San Diego International Airport (Lindbergh Field)	P-L	10,340,164
San Francisco	SFO	SFO	KSFO	San Francisco International Airport	P-L	25,707,101
San Jose	SJC	SJC	KSJC	Norman Y. Mineta San José International Airport	P-M	5,321,603
San Luis Obispo	SBP	SBP	KSBP	San Luis Obispo County Regional Airport (McChesney Field)	P-N	162,719
Santa Barbara	SBA	SBA	KSBA	Santa Barbara Municipal Airport (Santa Barbara Airport)	P-N	329,751
Santa Maria	SMX	SMX	KSMX	Santa Maria Public Airport (Capt G. Allan Hancock Field)	P-N	40,120
Santa Rosa	STS	STS	KSTS	Charles M. Schulz–Sonoma County Airport	P-N	167,151
Stockton	SCK	SCK	KSCK	Stockton Metropolitan Airport	P-N	93,07
